I.I;;
II.1.6.9;CONCRETO BETUMINOSO USINADO A QUENTE (CBUQ) PARA PAVIMENTACAO ASFALTICA, PADRAO DNIT, FAIXA C, COM CAP 30/45 - AQUISICAO POSTO USINA                                                                                                                                                                                                                                                                                                                                                                      ;t
II.1.6.10;Execução da interligação das redes de 1500x300mm no sistema de decarga de fundo da barragem Epitácio Pessoa em aço carbono, inclusive fornecimento de peças e conexões.;global
II.;;
II.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
II.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
II.2.2;Curva 11º com bolsas FºFº DN 250;un
II.2.3;Curva 22º com bolsas FºFº DN 250;un
II.2.4;Curva 45º com bolsas FºFº DN 250;un
II.2.5;Curva 90º com bolsas FºFº DN 250;un
II.2.6;Tê com bolsas FºFº DN 250x80;un
II.2.7;Tê com bolsas FºFº DN 250x100;un
II.2.8;Tê com bolsas e flange FºFº PN 10/16 DN 250x100;un
II.2.9;Arruelas de borracha para flanges PN 10 DN 100;un
II.2.10;Arruelas de amianto para flanges PN 16 DN 100;un
II.2.11;Parafusos para flanges PN 10 d=16mm, L=80mm;un
II.;;
II.3;FORNECIMENTO DE EQUIPAMENTOS;
II.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 100;un
II.3.2;Ventosa tríplice função PN 10/16 DN 100;un
II.;;
II.4;FORNECIMENTO DE TUBULAÇÕES;
II.4.1;Tubo PVC DEFºFº 1MPa DN 250;m
II.4.2;Tubo PVC DEFºFº 1MPa DN 200;m
II.4.3;Tubo PVC DEFºFº 1MPa DN 150;m
II.4.4;Tubo RPVC cl.14 DN 250;m
II.4.5;Tubo RPVC cl.16 DN 250;m
II.4.6;Tubos PEAD Dext 280 mm - Dint 217,6  PEAD PE 100  - SDR - 11 - PN 16;m
II.9826;Tubo DEFOFO Ø250;m
II.9829;Tubo DEFOFO Ø200;m
II.9828;Tubo DEFOFO Ø150;m
II.PEC 009;Tubo PEAD Ø280mm PN16;m
II.9827;Tubo DEFOFO Ø300;m
II.;;
III.III;Adutora EB2 a Barra de São Miguel;
III.;;
III.1;OBRAS CIVIS ;
III.1.1;Serviços Preliminares;
III.1.1.1;Limpeza mecanizada;m²
III.1.1.2;Locação e nivelamento (ADUTORA);m
III.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
III.1.1.4;Sinalização aberta sem iluminação;m
III.1.1.5;Sinalização aberta com iluminação;m
III.1.1.6;Placa indicativa da obra;m²
III.1.2;Movimento de Terra;
III.1.2.1;Escavação mecânica em terra até 2,00 m;m³
III.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
III.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
III.1.2.4;Escavação em rocha dura até 2,00 m;m³
III.1.2.5;Colchão de areia;m³
III.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
III.1.2.7;Reaterro compactado manualmente com material de empréstimo;m³
III.1.2.8;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
III.1.2.9;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
III.1.3;Execução de Blocos de Ancoragem;
III.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
III.1.4;Caixas;
III.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
III.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
III.1.5;Assentamento das Tubulações;
III.1.5.1;Assentamento de Tubos PVC DEFºFº 1MPa DN 200;m
III.1.5.2;Assentamento de Tubos RPVC cl.12, 14, 16 e 20 DN 200;m
III.1.5.3;Assentamento de Tubos Dext 225 mm - Dint 184  PEAD PE 100  - SRD - 11 - PN 16;m
III.1.5.4;Assentamento de Tubos Dext 250 mm - Dint 204,40  PEAD PE 100  - SRD - 11 - PN 16;m
III.1.6;Serviços Diversos;
III.1.6.1;Limpeza e teste de estanqueidade;m
III.1.6.2;Montagem de equipamentos hidromecânicos;und
III.;;
III.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
III.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
III.2.2;Curva 11º com bolsas FºFº DN 200;un
III.2.3;Curva 22º com bolsas FºFº DN 200;un
III.2.4;Curva 45º com bolsas FºFº DN 200;un
III.2.5;Curva 90º com bolsas FºFº DN 200;un
III.2.6;Tê com bolsas FºFº DN 200x80;un
III.2.7;Tê com bolsas FºFº DN 200x100;un
III.2.8;Tê com bolsas e flange FºFº PN 10/16 DN 200x100;un
III.2.9;Arruelas de borracha para flanges PN 10 DN 100;un
III.2.10;Arruelas de amianto para flanges PN 16 DN 100;un
III.2.11;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
III.;;
III.3;FORNECIMENTO DE EQUIPAMENTOS;
III.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 100;un
III.3.2;Ventosa tríplice função PN 10/16 DN 100;un
III.;;
III.4;FORNECIMENTO DE TUBULAÇÕES;
III.4.1;Tubos PVC DEFºFº 1MPa DN 200;m
III.4.2;Tubos RPVC cl.12 DN 200;m
III.4.3;Tubos RPVC cl.14 DN 200;m
III.4.4;Tubos RPVC cl.16 DN 200;m
III.4.5;Tubos Dext 225 mm - Dint 184  PEAD PE 100  - SDR - 11 - PN 16;m
III.4.6;Tubos Dext 250 mm - Dint 204,40  PEAD PE 100  - SDR - 11 - PN 16;m
III.9829;Tubo DEFOFO Ø200;m
III.PEC 008;Tubo PEAD Ø250mm PN16;m
III.;;
IV.IV;Adutora Derivação para Urubu;
IV.;;
IV.1;OBRAS CIVIS ;
IV.1.1;Serviços Preliminares;
IV.1.1.1;Limpeza mecanizada;m²
IV.1.1.2;Locação e nivelamento (ADUTORA);m
IV.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
IV.1.1.4;Sinalização aberta sem iluminação;m
IV.1.1.5;Sinalização aberta com iluminação;m
IV.1.1.6;Placa indicativa da obra;m²
IV.1.2;Movimento de Terra;
IV.1.2.1;Escavação mecânica em terra até 2,00 m;m³
IV.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
IV.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
IV.1.2.4;Escavação em rocha dura até 2,00 m;m³
IV.1.2.5;Colchão de areia;m³
IV.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
IV.1.2.8;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
IV.1.2.9;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
IV.1.3;Execução de Blocos de Ancoragem;
IV.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
IV.1.4;Caixas;
IV.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
IV.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
IV.1.5;Assentamento das Tubulações;
IV.1.5.1;Assentamento de Tubos PVC PBA cl.15 DN 50;m
IV.1.6;Serviços Diversos;
IV.1.6.1;Limpeza e teste de estanqueidade;m
IV.1.6.2;Montagem de equipamentos hidromecânicos;und
IV.;;
IV.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
IV.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
IV.2.2;Curva 22º ponta e bolsa PVC PBA DN 50;un
IV.2.3;Tê com bolsas e flange FºFº PN 10/16 DN 80x50;un
IV.2.4;Arruelas de borracha para flanges PN 10 DN 50;un
IV.2.5;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
IV.;;
IV.3;FORNECIMENTO DE EQUIPAMENTOS;
IV.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 50;un
IV.3.2;Ventosa tríplice função PN 10/16 DN 50;un
IV.;;
IV.4;FORNECIMENTO DE TUBULAÇÕES;
IV.4.1;Tubo PVC PBA cl.15 DN 50;m
IV.;;
V.V;Adutora Derivação para Canudos;
V.;;
V.1;OBRAS CIVIS ;
V.1.1;Serviços Preliminares;
V.1.1.1;Limpeza mecanizada;m²
V.1.1.2;Locação e nivelamento (ADUTORA);m
V.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
V.1.1.4;Sinalização aberta sem iluminação;m
V.1.1.5;Sinalização aberta com iluminação;m
V.1.1.6;Placa indicativa da obra;m²
V.1.2;Movimento de Terra;
V.1.2.1;Escavação mecânica em terra até 2,00 m;m³
V.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
V.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
V.1.2.4;Escavação em rocha dura até 2,00 m;m³
V.1.2.5;Colchão de areia;m³
V.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
V.1.2.7;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
V.1.2.8;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
V.1.3;Execução de Blocos de Ancoragem;
V.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
V.1.4;Caixas;
V.1.4.1;Caixa em alvenaria para abrigo de registros DN 50,80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material;un
V.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material;un
V.1.5;Assentamento das Tubulações;
V.1.5.1;Assentamento de Tubos PVC PBA cl.20 DN 50;m
V.1.6;Serviços Diversos;
V.1.6.1;Limpeza e teste de estanqueidade;m
V.1.6.2;Montagem de equipamentos hidromecânicos;und
V.;;
V.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
V.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
V.2.2;Curva 22º ponta e bolsa PVC PBA DN 50;un
V.2.3;Curva 90º ponta e bolsa PVC PBA DN 50;un
V.2.4;Tê com bolsas e flange FºFº PN 10/16 DN 80x50;un
V.2.5;Arruelas de borracha para flanges PN 10 DN 50;un
V.2.6;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
V.;;
V.3;FORNECIMENTO DE EQUIPAMENTOS;
V.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 50;un
V.3.2;Ventosa tríplice função PN 10/16 DN 50;un
V.;;
V.4;FORNECIMENTO DE TUBULAÇÕES;
V.4.1;Tubo PVC PBA cl.20 DN 50;m
V.;;
VI.VI;Adutora EB1/1 a Taboado de Baixo;
VI.;;
VI.1;OBRAS CIVIS ;
VI.1.1;Serviços Preliminares;
VI.1.1.1;Limpeza mecanizada;m²
VI.1.1.2;Locação e nivelamento (ADUTORA);m
VI.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
VI.1.1.4;Sinalização aberta sem iluminação;m
VI.1.1.5;Sinalização aberta com iluminação;m
VI.1.1.6;Placa indicativa da obra;m²
VI.1.2;Movimento de Terra;
VI.1.2.1;Escavação mecânica em terra até 2,00 m;m³
VI.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
VI.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
VI.1.2.4;Escavação em rocha dura até 2,00 m;m³
VI.1.2.5;Colchão de areia;m³
VI.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
VI.1.2.7;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VI.1.2.8;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VI.1.3;Execução de Blocos de Ancoragem;
VI.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
VI.1.4;Caixas;
VI.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
VI.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
VI.1.4;Assentamento das Tubulações;
VI.1.4.1;Assentamento de Tubos PVC PBA cl. 12 e 15 DN 50;m
VI.1.4.2;Assentamento de Tubos PVC PBA cl. 10/15/20 DN 75;m
VI.1.5;Serviços Diversos;
VI.1.5.1;Limpeza e teste de estanqueidade;m
VI.1.5.2;Montagem de equipamentos hidromecânicos;und
VI.;;
VI.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
VI.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
VI.2.2;Adaptador com bolsas Klikso FºFº DN 80x75;un
VI.2.3;Curva 22º ponta e bolsa PVC PBA DN 50;un
VI.2.4;Curva 22º ponta e bolsa PVC PBA DN 75;un
VI.2.5;Curva 45º ponta e bolsa PVC PBA DN 50;un
VI.2.6;Curva 45º ponta e bolsa PVC PBA DN 75;un
VI.2.7;Curva 90º ponta e bolsa PVC PBA DN 50;un
VI.2.8;Curva 90º ponta e bolsa PVC PBA DN 75;un
VI.2.9;Tê com bolsas e flange FºFº PN 10/16 DN 80x50;un
VI.2.10;Arruelas de borracha para flanges PN 10 DN 50;un
VI.2.11;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
VI.;;
VI.3;FORNECIMENTO DE EQUIPAMENTOS;
VI.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 50;un
VI.3.2;Ventosa tríplice função PN 10/16 DN 50;un
VI.;;
VI.4;FORNECIMENTO DE TUBULAÇÕES;
VI.4.1;Tubos PVC PBA cl. 12 DN 50;m
VI.4.2;Tubos PVC PBA cl. 15 DN 50;m
VI.4.3;Tubos PVC PBA cl. 20 DN 50;m
VI.4.4;Tubos PVC PBA cl. 20 DN 75;m
VI.36378;TUBO PVC PBA JEI, CLASSE 20, DN 50 MM, PARA REDE DE AGUA (NBR 5647);m
VI.36379;TUBO PVC PBA JEI, CLASSE 20, DN 75 MM, PARA REDE DE AGUA (NBR 5647);m
VI.;;
VII.VII;Adutora EB1/1 a Taboado de Cima;
VII.;;
VII.1;OBRAS CIVIS ;
VII.1.1;Serviços Preliminares;
VII.1.1.1;Limpeza mecanizada;m²
VII.1.1.2;Locação e nivelamento (ADUTORA);m
VII.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
VII.1.1.4;Sinalização aberta sem iluminação;m
VII.1.1.5;Sinalização aberta com iluminação;m
VII.1.1.6;Placa indicativa da obra;m²
VII.1.2;Movimento de Terra;
VII.1.2.1;Escavação mecânica em terra até 2,00 m;m³
VII.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
VII.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
VII.1.2.4;Escavação em rocha dura até 2,00 m;m³
VII.1.2.5;Colchão de areia;m³
VII.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
VII.1.2.7;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VII.1.2.8;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VII.1.3;Execução de Blocos de Ancoragem;
VII.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
VII.1.4;Caixas;
VII.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
VII.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
VII.1.5;Assentamento das Tubulações;
VII.1.5.1;Assentamento de Tubos PVC PBA cl. 15 e 20 DN 75;m
VII.1.6;Serviços Diversos;
VII.1.6.1;Limpeza e teste de estanqueidade;m
VII.1.6.2;Montagem de equipamentos hidromecânicos;und
VII.;;
VII.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
VII.2.1;Adaptador com bolsas Klikso FºFº DN 80x75;un
VII.2.2;Curva 22º ponta e bolsa PVC PBA DN 75;un
VII.2.3;Curva 45º ponta e bolsa PVC PBA DN 75;un
VII.2.4;Curva 90º ponta e bolsa PVC PBA DN 75;un
VII.2.5;Tê com bolsas e flange FºFº PN 10/16 DN 80x50;un
VII.2.6;Arruelas de borracha para flanges PN 10 DN 50;un
VII.2.7;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
VII.;;
VII.3;FORNECIMENTO DE EQUIPAMENTOS;
VII.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 50;un
VII.3.2;Ventosa tríplice função PN 10/16 DN 50;un
VII.;;
VII.4;FORNECIMENTO DE TUBULAÇÕES;
VII.4.1;Tubos PVC PBA cl. 15 DN 75;m
VII.4.2;Tubos PVC PBA cl. 20 DN 75;m
VII.;;
VIII.VIII;Adutora EB Flutuante a ETA;
VIII.;;
VIII.1;OBRAS CIVIS ;
VIII.1.1;Serviços Preliminares;
VIII.1.1.1;Limpeza mecanizada;m²
VIII.1.1.2;Locação e nivelamento (ADUTORA);m
VIII.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
VIII.1.1.4;Sinalização aberta sem iluminação;m
VIII.1.1.5;Sinalização aberta com iluminação;m
VIII.1.1.6;Placa indicativa da obra;m²
VIII.1.2;Movimento de Terra;
VIII.1.2.1;Escavação mecânica em terra até 2,00 m;m³
VIII.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
VIII.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
VIII.1.2.4;Escavação em rocha dura até 2,00 m;m³
VIII.1.2.5;Colchão de areia;m³
VIII.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
VIII.1.2.7;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VIII.1.2.8;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
VIII.1.3;Assentamento das Tubulações;
VIII.1.3.1;Assentamento de Tubos PVC DEFºFº 1MPa DN 250;m
VIII.1.4;Serviços Diversos;
VIII.1.4.1;Limpeza e teste de estanqueidade;m
VIII.;;
VIII.2;FORNECIMENTO DE TUBULAÇÕES;
VIII.2.1;Tubo PVC DEFºFº 1MPa DN 250;m
VIII.9826;Tubo DEFOFO Ø250;m
VIII.;;
IX.IX;Adutora Derivação para Sangradouro;
IX.;;
IX.1;OBRAS CIVIS ;
IX.1.1;Serviços Preliminares;
IX.1.1.1;Limpeza mecanizada;m²
IX.1.1.2;Locação e nivelamento (ADUTORA);m
IX.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
IX.1.1.4;Sinalização aberta sem iluminação;m
IX.1.1.5;Sinalização aberta com iluminação;m
IX.1.1.6;Placa indicativa da obra;m²
IX.1.2;Movimento de Terra;
IX.1.2.1;Escavação mecânica em terra até 2,00 m;m³
IX.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
IX.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
IX.1.2.4;Escavação em rocha dura até 2,00 m;m³
IX.1.2.5;Colchão de areia;m³
IX.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
IX.1.2.7;Reaterro compactado manualmente com material de empréstimo;m³
IX.1.2.8;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
IX.1.2.9;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
IX.1.3;Assentamento das Tubulações;
IX.1.3.1;Assentamento de Tubos RPVC cl.12 DN 80;m
IX.1.3.2;Assentamento de Tubos PVC PBA cl. 15 e 20 DN 75;m
IX.1.4;Serviços Diversos;
IX.1.4.1;Limpeza e teste de estanqueidade;m
IX.1.4.2;Montagem de equipamentos hidromecânicos;und
IX.;;
IX.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
IX.2.1;Curva 90º com bolsas FºFº DN 80;un
IX.;;
IX.3;FORNECIMENTO DE TUBULAÇÕES;
IX.3.1;Tubo RPVC cl.14 DN 80;m
IX.3.2;Tubos PVC PBA cl. 20 DN 75;m
IX.36379;TUBO PVC PBA JEI, CLASSE 20, DN 75 MM, PARA REDE DE AGUA (NBR 5647);m
IX.;;
X.X;Adutora Derivação para Vila Soares;
X.;;
X.1;OBRAS CIVIS ;
X.1.1;Serviços Preliminares;
X.1.1.1;Limpeza mecanizada;m²
X.1.1.2;Locação e nivelamento (ADUTORA);m
X.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
X.1.1.4;Sinalização aberta sem iluminação;m
X.1.1.5;Sinalização aberta com iluminação;m
X.1.1.6;Placa indicativa da obra;m²
X.1.2;Movimento de Terra;
X.1.2.1;Escavação mecânica em terra até 2,00 m;m³
X.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
X.1.2.3;Escavação mecânica em rocha branda até 2,00 m;m³
X.1.2.4;Escavação em rocha dura até 2,00 m;m³
X.1.2.5;Colchão de areia;m³
X.1.2.6;Reaterro compactado manualmente com aproveitamento do material;m³
X.1.2.7;Reaterro compactado manualmente com material de empréstimo;m³
X.1.2.8;Bota fora de terra, piçarro ou rocha branda, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
X.1.2.9;Bota fora de rocha dura fragmentada, com carga mecânica, DMT=1km, inclusive limpeza mecanizada;m³
X.1.3;Execução de Blocos de Ancoragem;
X.1.3.1;Execução de blocos de ancoragem moldados no local em concreto simples ;m³
X.1.4;Caixas;
X.1.4.1;Caixa em alvenaria para abrigo de registros DN 50, 80 e 100 inclusive escavação, reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
X.1.4.2;Caixa de Alvenaria para abrigo de ventosa DN 50, 80 e 100 inclusive escavação reaterro apiloado e bota-fora de material (1,2X1,2X1,5)M;un
X.1.5;Assentamento das Tubulações;
X.1.5.1;Assentamento de Tubos RPVC cl.14 DN 50;m
X.1.5.2;Assentamento de Tubos PEAD - Dext - 63 mm - Dint 51,4 mm - SDR11 - PE 100 - PN 16;m
X.1.6;Serviços Diversos;
X.1.6.1;Limpeza e teste de estanqueidade;m
X.1.6.2;Montagem de equipamentos hidromecânicos;und
X.;;
X.2;FORNECIMENTO DE MATERIAIS HIDRÁULICOS;
X.2.1;Adaptador com bolsas Klikso FºFº DN 80x50;un
X.2.2;Curva 45º ponta e bolsa PVC PBA DN 50;un
X.2.3;Tê com bolsas e flange FºFº PN 10/16 DN 80x50;un
X.2.4;Arruelas de borracha para flanges PN 10 DN 50;un
X.2.5;Parafusos para flanges PN 10/16 d=16mm, L=80mm;un
X.;;
X.3;FORNECIMENTO DE EQUIPAMENTOS;
X.3.1;Registro de gaveta corpo curto com flanges e cabeçote PN 10/16 DN 50;un
X.3.2;Ventosa tríplice função PN 10/16 DN 50;un
X.;;
X.4;FORNECIMENTO DE TUBULAÇÕES;
X.4.1;Tubo RPVC cl.14 DN 50;m
X.4.2;Tubos PEAD - Dext - 63 mm - Dint 51,4 mm - SDR11 - PE 100 - PN 16;m
X.PEC 004;Tubo PEAD Ø63mm PN16;m
X.;;
XI.XI;Adutora Derivação para Riacho de Santo Antonio;
XI.;;
XI.1;OBRAS CIVIS ;
XI.1.1;Serviços Preliminares;
XI.1.1.1;Limpeza mecanizada;m²
XI.1.1.2;Locação e nivelamento (ADUTORA);m
XI.1.1.3;Cadastro técnico conforme norma da CAGEPA ;m
XI.1.1.4;Sinalização aberta sem iluminação;m
XI.1.1.5;Sinalização aberta com iluminação;m
XI.1.1.6;Placa indicativa da obra;m²
XI.1.2;Movimento de Terra;
XI.1.2.1;Escavação mecânica em terra até 2,00 m;m³
XI.1.2.2;Escavação mecânica em piçarro até 2,00 m;m³
